Latitude,Longitude
-27.2,31.31667
26.25,82.0
-17.3,15.83333
48.9,11.21667
56.03333,13.0
28.26667,78.78333
34.41667,3.25
50.18333,12.73333
47.83333,37.66667
51.75,4.0
30.3,109.5
47.86667,7.35
48.18333,6.46667
19.03333,81.89167
40.3,44.5
1.16667,44.16667
52.21667,11.25
46.25,-1.1
2.88333,30.83333
44.38333,2.81667
36.88333,8.45
34.6,116.75
43.18111,13.75333
50.95,7.31667
31.47556,113.56694
25.95,80.81667
32.9,115.9
44.3,0.4
7.05,12.43333
7.05,12.43333
51.68333,30.78333
27.35,68.53333
27.88333,68.53333
12.85,11.03333
12.91667,11.91667
37.31667,13.56667
9.6,9.91667
52.2,6.86667
-7.25,107.7
57.35,37.61667
52.45972,-0.3
50.66667,16.76667
24.23333,89.05
48.28333,38.08333
42.9,2.25
60.66667,11.0
43.66667,45.38333
49.26667,18.71667
46.35,30.58333
51.93333,15.5
52.86667,16.63333
39.80417,122.76389
37.1,118.4
38.73333,-6.01667
43.76667,20.23333
13.5,-0.68333
9.91667,13.98333
22.98333,76.05
11.49167,11.65833
42.9,24.7
13.78333,78.56667
9.36667,42.41667
51.91667,8.38333
35.0,127.5
50.31667,3.73333
57.81667,16.23333
26.8,82.53333
28.38333,75.78333
28.95,0.81667
51.65,-1.51667
60.24556,22.06194
55.46667,13.78333
27.33333,35.66667
59.85,17.66667
55.9,-4.23333
1.345,31.47278
64.43333,21.2
9.06667,38.41667
35.66667,115.5
46.1,16.33333
26.46469,106.63241
50.3,8.91667
61.18333,22.68333
52.28333,7.7
58.2,82.93333
-32.1,28.33333
39.75,46.66667
41.0,112.0
-8.93333,33.8
26.59083,-12.95217
-8.41667,32.43333
-32.5,21.9
26.75,68.41667
31.0,75.0
18.75,75.33333
39.7,105.8
43.83333,20.44167
46.42137,14.05217
31.3,72.38333
31.91667,104.91667
30.80833,109.5
44.05,126.16667
22.68,70.31333
55.7,24.4
-11.85,15.83333
45.43333,-0.45
35.5,115.41667
12.85,76.8
35.2,118.8
38.74028,-7.27
44.71667,4.3
47.35,21.3
11.85,8.21667
27.08333,78.33333
27.25,79.96667
49.86667,30.83333
15.0,48.3
55.43333,53.25
12.38333,78.51667
45.13333,21.66667
-6.83333,29.5
17.83333,73.98333
26.03333,81.46667
14.18333,75.8
31.6,65.78333
32.08333,76.3
4.7,33.63333
20.33916,73.22329
42.45,73.36667
47.21667,81.01667
-3.5,35.58333
12.9,7.15
27.8,67.16667
31.58333,71.6
29.58333,77.58333
11.33333,10.08333
25.14333,75.81333
39.26333,31.78
36.54194,29.41822
20.4625,86.70278
48.4,-3.3
48.11667,-3.08333
29.53333,72.3
25.55,83.11667
50.625,35.075
26.95,77.88333
28.01667,75.81667
56.75,75.33333
25.1,81.53333
16.0,36.0
14.0,28.0
54.4,10.15
16.58333,-11.33333
55.0,34.0
12.76667,9.8
54.66667,-7.66667
11.63333,24.68333
48.16667,22.30833
51.6,10.8
48.9,22.4
42.51667,26.16667
48.76367,21.17633
49.32694,7.46472
54.03333,40.9
54.33333,56.08333
56.8,77.0
47.83333,30.76667
51.15,31.7
30.73111,66.80222
50.75,33.5
41.11667,45.0
55.78333,61.36667
42.25,59.2
29.68333,78.38333
44.51667,39.3
10.83333,76.03333
55.2,75.33333
47.08333,1.75
44.28333,5.58333
26.78333,82.71667
48.76667,0.63333
21.86667,76.03333
24.45,78.56667
47.7,1.06667
43.75,5.11667
58.85,16.73333
46.24167,126.19611
47.75,16.23333
33.13333,115.16667
51.9,-1.11667
52.45,51.56667
47.16667,0.43333
48.53333,-0.86667
-25.66667,28.36667
52.66667,-6.96667
52.26667,32.85
48.35,3.25
50.36667,4.73333
-26.15,26.18333
56.65,15.86667
52.56667,-8.78333
52.75,12.9
31.63333,118.98333
50.2,14.85
56.0,26.43333
29.53333,71.8
26.96556,72.62667
38.0,-0.83333
52.0,19.91667
24.95,75.15
47.85,0.48333
24.8,103.3
56.21667,13.03333
61.2,27.7
46.21667,5.0
19.0,97.0
-5.2,-36.66667
-15.21222,35.24222
-28.83333,31.95
25.91667,86.36667
40.41667,-3.71667
37.86667,27.51667
-19.48333,31.65
27.66667,95.78333
12.83333,9.38333
9.5,31.75
-3.13333,33.51667
-29.45,26.76667
45.21667,62.08333
23.05,86.7
20.96667,76.1
-17.65,31.6
45.81667,44.63333
34.23333,72.08333
54.76183,11.46745
4.66667,29.25
61.5,30.5
44.5,0.15
-14.2,48.1
45.36667,1.86667
0.0,0.0
48.13333,12.61667
48.18333,13.13333
-20.0,57.0
8.96667,12.08333
-1.21667,30.0
1.06667,34.16667
29.01667,77.8
-6.23333,106.88333
53.18333,13.15
46.81867,7.21817
55.05,12.06667
0.0,37.66667
25.48333,81.98333
38.18333,15.56667
50.58333,11.1
45.76667,3.25
46.5,25.73333
25.9,83.61667
34.8,111.7
54.56667,-1.16667
48.06667,30.96667
46.23333,17.53333
46.18333,16.1
37.28333,14.7
32.33333,120.66667
47.7,16.6
25.68333,83.25
56.66667,23.0
61.73333,5.93333
46.8,24.03333
38.11667,-1.16667
-31.25,26.46667
38.01667,-8.25
43.26667,13.35
43.39056,1.9625
47.63333,1.58333
52.45,-8.33333
28.78333,78.83333
49.6,18.53333
44.6,5.13333
59.43333,10.7
26.83333,77.33333
45.2,8.5
18.7,4.8
44.08333,6.86667
-11.5,33.5
12.63333,77.01667
9.33333,80.83333
24.5,90.21667
26.13333,85.53333
12.0,1.0
26.98333,78.21667
49.16667,19.5
31.31667,30.35
13.73333,100.08333
12.28333,79.2
35.66667,103.5
32.11667,121.8
19.25,77.0
33.75,51.5
21.25,83.66667
18.68333,83.48333
9.5,35.33333
56.5,21.5
47.525,10.80833
15.36667,35.68333
13.85,-4.38333
52.45,78.63333
56.11667,37.33333
29.86667,121.48333
32.925,105.90667
-28.56667,30.7
45.29167,11.52722
54.81667,46.0
56.0,22.0
42.91667,102.46667
41.63333,0.75
21.20833,94.91667
47.55,22.025
57.78333,55.26667
52.28333,8.05
58.5,23.0
47.88333,22.03333
46.06667,23.58333
6.75,8.5
38.18333,-5.4
50.83333,25.5
52.95,8.16667
38.71667,-7.06667
39.56667,-2.1
43.88333,1.38333
47.11667,6.15
48.5,8.0
42.13333,12.93333
58.88333,9.4
12.9,0.08
30.18,-6.57717
24.3,-13.1
37.60833,-8.28
-18.0,16.0
43.4,-5.86667
55.66667,25.0
17.74333,120.45583
43.48333,118.61667
-6.23333,-40.7
9.23333,78.35
26.2,85.4
20.93694,82.05
38.13333,14.96667
23.15,91.18333
43.46667,25.51667
52.3,77.03333
48.53333,35.98333
52.03333,43.0
51.66667,9.25
-10.66667,35.5
23.325,91.0
56.4,-3.43333
56.63333,39.43333
55.5,66.08333
14.052,0.42
11.25,108.58333
12.0,105.48333
15.71667,108.1
44.24417,11.50222
58.66667,25.73333
26.03472,73.94167
-32.86667,18.71667
25.8,88.45
29.58333,76.0
45.275,26.70972
50.53333,14.11667
11.58333,104.91667
50.93333,12.13333
26.71667,82.66667
66.34833,14.015
53.03639,-4.31944
38.5,-8.0
31.41667,118.5
48.3025,13.94083
49.66667,14.03333
39.35,-3.51667
23.36667,75.18333
52.76667,21.26667
13.33333,78.95
32.08333,121.5
26.53333,106.46667
-30.11667,28.7
17.76667,95.18333
39.0,-0.66667
44.61667,126.13333
46.6,0.25
27.72528,76.465
28.225,70.2
52.98333,37.03333
26.45,82.9
24.16667,87.76667
51.88333,6.93333
23.98333,87.08333
25.38333,72.01667
38.2,115.7
26.66667,50.15
43.5,26.53333
52.2,17.98333
42.475,-5.33333
44.76667,11.28333
38.66667,116.13333
48.6,45.66667
28.2,76.66667
45.48333,9.51667
42.3,0.55
50.35,10.8
52.76667,-2.51667
-1.45,29.83333
0.26667,36.53333
-10.26667,38.76667
51.13333,34.5
27.43333,82.08333
23.08333,91.66667
43.73333,1.38333
45.3,0.23333
46.05,4.63333
52.75,11.05
25.66667,74.86667
43.66667,13.0
52.55,46.55
43.15,-0.85
47.21667,29.86667
49.23333,17.56667
53.35,15.05
48.11667,10.46667
38.3,27.13333
26.75,84.78333
-7.23333,107.33333
22.83333,4.98333
22.25,79.0
41.71667,-0.05
21.68389,79.50083
41.05,23.56667
-8.38333,-36.76667
37.41667,-6.0
50.61667,36.6
34.75,10.71667
23.1,87.3
24.55,84.83333
33.65,120.06667
25.85,87.5775
43.5,125.66667
33.71667,74.83333
24.33333,90.16667
43.11667,11.6
44.11667,27.26667
49.98333,7.53333
30.9,32.48333
26.21667,69.55
39.3,9.2
20.91667,82.58333
39.82467,36.13583
32.43333,119.86667
59.73333,10.86667
45.68333,15.6
55.0,35.0
27.13333,84.06667
43.66667,21.86667
47.36667,1.73333
54.00883,22.005
45.25,125.0
44.41667,23.5
1.7,33.63333
44.75,0.05
46.95,-1.5
51.05,3.75
48.01667,-1.15
-32.01667,27.41667
48.45,3.93333
61.65,27.2
43.43333,2.95
59.93333,14.95
49.28333,15.56667
45.05,41.98333
50.76667,3.0
53.66667,55.98333
56.58333,-3.25
50.38333,-3.95
50.53806,16.26333
31.61667,113.46667
12.66667,78.03333
25.93333,84.28333
44.86667,133.16667
26.71667,84.21667
49.4,14.65
36.18333,5.41667
31.16333,-7.015
45.4,122.9
32.95,10.41667
19.38333,43.73333
35.13333,44.45
46.71667,23.5
58.03333,26.95
33.4,70.6
-1.00278,37.15028
-29.33333,27.58333
32.94667,118.99
49.6,17.11667
14.25,1.53333
54.5,35.2
13.63333,79.41667
29.48195,-7.61123
-6.66667,106.58333
47.85,34.76667
24.65,76.86667
45.06667,7.66667
43.6,1.4
51.73333,102.53333
50.78333,4.76667
52.21667,13.16667
45.46667,10.0
50.91667,9.18333
58.47333,8.86667
61.3,12.3
9.66667,105.66667
45.46667,105.38333
60.0,5.61667
57.16667,65.53333
41.76667,62.51667
7.95,8.08333
51.65,5.61667
13.48333,74.78333
-4.26667,35.35
46.93333,7.21667
30.33333,76.33333
13.46667,31.21667
66.13889,124.76667
34.8,127.0
49.975,16.375
52.11667,5.18333
47.11667,7.55
45.41667,11.13333
11.98333,79.75
44.86667,9.15
46.15,32.83333
56.13333,77.26667
35.33333,51.63333
48.41667,43.2
57.8,45.8
44.85,11.4
42.8,-4.66667
43.53333,22.63333
23.1,87.43333
16.83333,80.75
25.45,70.0
46.63333,0.16667
32.79732,21.78713
48.95,17.38333
-26.0,30.0
-28.66667,18.91667
-32.5,23.0
9.0,39.0
54.13667,-0.41333
36.75,114.25
44.66667,117.5
32.33333,114.31667
13.71111,45.17
1.0,22.5
21.83333,111.83333
24.56667,114.16667
38.93333,48.25
14.3,79.76667
28.71667,116.61667
47.31667,35.36667
50.28333,27.68333
55.18333,27.91667
27.33333,-9.33333
11.73333,7.08333
47.5,83.0
32.3,112.75
47.13333,43.9
44.4,19.11667
49.88333,13.91667
55.3,25.0
45.81667,125.91667
47.58333,37.25
39.66667,122.98333
51.83333,26.83333
-15.18333,35.28333
46.93333,21.5
50.2,30.25
22.72192,48.95937
60.43333,22.3
27.23944,29.83583
27.5,3.61667
27.61667,3.85
27.81667,4.03333
27.58333,3.81667
27.6,3.83333
27.63333,3.96667
27.51667,3.65
27.53333,3.7
27.73333,4.08333
27.75,4.1
27.75,4.16667
27.8,4.16667
27.83333,4.28333
27.8,4.46667
27.78333,4.28333
27.71667,4.48333
27.73333,4.4
27.7,4.08333
27.7,4.06667
27.7,4.06667
27.55,3.61667
27.51667,3.83333
27.51667,3.91667
27.55,3.93333
27.58333,3.96667
27.61667,4.05
27.66667,4.2
27.66667,4.25
27.68333,4.33333
27.68333,4.41667
27.66667,4.35
27.65,4.46667
27.65,4.43333
27.63333,4.35
27.6,4.3
27.58333,4.25
27.55,4.13333
27.53333,4.0
27.53333,3.91667
27.46667,3.78333
27.43333,3.71667
27.46667,3.83333
27.51667,3.91667
27.55,4.0
27.78333,4.7
27.83333,4.7
27.55,4.08333
27.41667,3.71667
27.65,4.5
27.61667,4.41667
27.75,4.15
27.73333,4.05
27.7,3.93333
27.5,3.98333
27.46667,3.88333
27.38333,3.71667
27.51667,4.06667
27.56667,4.16667
27.6,4.25
27.6,4.41667
27.61667,4.56667
27.61667,4.56667
27.5,4.28333
27.63333,4.06667
27.71667,4.78333
27.55,3.7
27.53333,3.83333
27.68333,4.48333
27.63333,4.28333
27.63333,4.25
27.53333,3.85
27.48333,3.83333
27.51667,3.73333
27.7,4.35
27.63333,4.51667
27.56667,4.15
27.5,3.68333
27.63333,4.51667
27.53333,3.86667
27.5,3.48333
27.48333,3.63333
27.55,3.86667
27.58333,3.95
27.66667,4.18333
27.7,4.26667
27.75,4.43333
27.63333,4.3
27.5,3.83333
27.45,4.11667
27.66667,4.51667
27.71667,4.13333
27.73333,4.43333
27.71667,4.38333
27.61667,4.2
27.51667,3.96667
27.46667,3.88333
27.45,3.83333
27.46667,3.95
27.53333,4.16667
27.66667,4.46667
27.8,4.5
27.63333,4.36667
27.55,4.13333
27.5,3.9
27.45,3.75
27.5,3.88333
27.55,3.76667
27.48333,3.8
27.48333,3.8
27.65,4.03333
27.56667,4.03333
27.6,3.96667
27.73333,4.16667
27.73333,4.16667
27.73333,4.2
27.66667,4.2
27.65,4.23333
27.65,4.3
27.68333,4.33333
27.5,3.66667
27.46667,3.76667
27.6,4.05
27.68333,4.35
27.51667,3.8
27.7,4.3
27.5,4.3
27.6,4.2
27.58333,4.0
27.58333,3.96667
27.5,3.76667
27.5,3.83333
27.76667,4.53333
27.55,4.03333
27.46667,4.05
27.58333,4.08333
27.66667,4.08333
27.56667,4.08333
27.56667,4.08333
27.58333,3.85
27.56667,4.35
27.66667,4.45
27.66667,4.28333
27.66667,4.28333
27.63333,4.08333
27.6,4.11667
27.58333,4.06667
27.58333,4.05
27.56667,3.81667
27.46667,3.71667
27.43333,3.75
27.53333,3.95
27.55,4.01667
27.66667,4.25
27.66667,4.23333
27.66667,4.23333
27.66667,4.21667
27.5,3.93333
27.46667,3.71667
27.75,4.43333
27.66667,4.01667
27.7,4.35
27.53333,4.18333
27.56667,4.33333
27.51667,4.23333
27.51667,4.0
27.6,3.98333
27.73333,4.11667
27.65,4.25
27.66667,4.16667
27.65,4.03333
27.48333,3.86667
27.48333,3.85
27.48333,3.85
27.48333,3.85
27.48333,3.75
27.46667,3.75
27.6,4.16667
27.66667,4.2
27.7,4.35
27.58333,4.16667
27.56667,4.01667
27.53333,3.83333
27.46667,3.86667
27.46667,3.9
27.58333,4.11667
27.6,4.18333
27.7,4.3
27.7,4.3
27.65,4.2
27.56667,3.95
27.49944,3.68889
27.52472,3.81139
27.57694,4.03389
27.55583,4.14
27.51694,3.79139
27.48028,3.85139
27.50194,3.92111
27.59222,3.91806
27.50889,4.60167
27.57806,4.36917
27.64639,3.98306
27.7375,4.32806
27.69083,4.37861
27.68806,4.37194
27.50472,3.88194
27.50472,3.88194
27.49722,3.87028
27.46472,3.78167
27.61278,3.71361
27.68111,4.30694
27.69,4.37861
27.64028,4.17056
27.59972,4.90361
27.59444,3.88583
27.54472,3.74306
27.52139,3.79139
27.52417,3.79694
27.5325,3.81361
27.54194,3.82778
27.54194,3.82778
27.63889,3.93444
27.64528,3.94389
27.68444,3.99389
27.66861,4.425
27.57389,4.11972
27.82611,4.24611
27.74056,4.30833
27.73472,4.31611
27.73944,4.32833
27.71722,4.44806
27.50111,4.09861
27.51889,4.01667
27.51056,3.89111
27.49167,3.83278
27.50361,3.67306
27.48444,3.66639
27.49833,3.69444
27.51583,3.72722
27.52111,3.77333
27.52472,3.80972
27.56389,3.92639
27.69222,3.32167
27.63611,4.03139
27.63556,4.02528
27.62167,3.95361
27.55139,3.74194
27.50972,3.88056
27.51111,3.88444
27.51361,3.89694
27.52222,3.94694
27.64611,4.39722
27.64611,4.39722
27.68528,4.50333
27.67056,4.34611
27.52444,3.87361
27.47556,3.71028
27.70917,4.42083
27.67,4.49722
27.69111,4.3375
27.69472,4.30639
27.715,4.19278
27.72722,4.17056
27.51056,3.71306
27.51389,3.87528
27.51472,3.86556
27.51861,3.85722
27.56111,4.05556
27.57028,4.075
27.62194,4.45556
27.63389,4.18722
27.63361,4.17306
27.63972,4.14528
27.63917,4.14278
27.63861,4.12722
27.64278,4.06889
27.53528,3.91278
27.54222,3.88444
27.65444,4.27528
27.70056,4.22944
27.70611,4.20583
27.63139,4.10722
27.79472,4.16722
27.61667,4.19056
27.59139,3.98806
27.47417,3.86417
27.54528,4.04861
27.70806,4.24806
27.71861,4.48611
27.66583,4.19056
27.64972,4.01194
27.48333,3.91556
27.58278,4.0
27.63361,4.04139
27.70917,4.17444
27.6825,4.42028
27.59028,4.15194
27.52722,3.89806
27.58694,3.96417
27.60222,3.98528
27.62361,4.02556
27.68722,4.18361
27.42889,3.82
27.49083,3.89778
27.55972,4.01028
27.64556,4.20444
27.68361,4.25306
27.50806,3.84417
27.57861,3.96889
27.60056,3.99556
27.66389,4.09806
27.69972,4.18611
27.6875,4.245
27.59278,4.40139
27.55028,3.99806
27.55194,3.81611
27.46056,3.88806
27.5455,4.06117
27.55917,4.093
27.503,3.8795
27.50083,3.86983
27.5,3.61667
27.5,3.61667
27.73333,4.43333
27.73333,4.21667
27.58333,4.1
27.65,4.03333
27.58333,4.01667
27.73333,4.13333
27.56667,4.06667
27.65,4.38333
27.73333,4.43333
27.61667,4.06667
27.68333,4.26667
27.71667,4.26667
27.55,4.2
27.58333,4.3
27.46667,3.83333
27.59056,4.66278
27.619722,4.265
27.73333,4.19833
27.46472,3.81417
27.59056,4.66278
27.68333,4.3
27.97933,4.27817
27.84067,4.31433
27.672,4.52633
27.7,4.13333
27.76667,4.01667
27.48917,3.89
27.5005,3.88233
27.58967,3.781
27.61233,4.5285
27.50083,4.87467
27.76667,4.41667
27.7,4.48333
27.48333,3.76667
27.42958,3.87135
27.4778,3.70165
27.58163,4.29388
27.7,4.51667
27.60933,3.93567
26.60933,3.93567
27.68433,4.42917
27.68883,4.386
27.667,4.64833
27.6725,4.35667
27.67817,4.46533
26.61167,3.887
26.62583,3.94433
26.60867,4.053
27.5085,3.76383
27.6395,3.935
27.6625,3.97683
27.4,3.75
27.4114,3.70467
27.76667,4.41667
27.7,4.45
27.63333,3.93333
27.36017,3.7
27.558,4.015
27.61667,3.86667
27.504,3.68167
27.5025,3.693
27.59617,4.172
27.51667,3.86667
27.58333,4.03333
27.51867,3.88033
27.50917,3.88767
27.512,3.89783
27.509,3.89583
27.50217,3.86083
27.50267,3.8725
27.50083,3.86617
27.68917,4.44267
36.9,30.68333
22.9935,-10.15367
19.83333,51.25
28.05,0.16667
27.81667,0.13333
27.13333,0.2
20.5,9.0
19.64008,9.35545
18.5,10.4
18.61042,10.4941
17.67987,10.03503
44.86667,95.41667
31.98457,-5.51528
30.55,-4.9
26.96667,4.45
26.96667,4.4
27.36667,4.5
27.33333,4.5
27.43583,4.63861
27.57639,4.52528
27.50778,4.60167
27.47889,4.19806
27.42861,4.12417
27.36056,4.94472
27.35028,4.2025
27.5175,4.19111
27.56972,4.52556
27.57806,4.3225
27.50972,4.16111
27.59167,4.31694
27.4,4.35
28.4625,1.025
39.53833,59.55833
30.70952,28.9698
27.5,-12.5
19.42,57.18833
19.27167,57.38667
19.50695,57.11952
19.54482,57.09807
19.84057,57.00848
19.84067,57.00842
19.84128,57.00953
19.84203,57.00747
19.8423,57.00013
19.86785,57.0028
19.86607,57.0032
19.80252,57.32137
19.60308,57.03332
19.80252,57.32137
19.65675,57.0433
19.61287,57.27038
19.61612,57.2698
19.64073,57.28857
19.66453,57.3334
19.53112,57.08427
19.3421,57.1693
19.31468,57.27343
19.40518,57.26818
19.40772,57.29878
19.44533,57.02345
19.40412,57.27497
19.32092,57.22977
19.51053,57.1292
19.22597,57.54063
19.14025,57.58427
19.26795,57.13412
19.18798,57.10978
22.80487,55.32742
22.79853,55.31673
22.74862,55.37323
22.74733,55.39522
22.73342,55.33122
22.73743,55.3191
22.73393,55.3204
22.73797,55.32125
22.75747,55.41402
22.74868,55.47218
22.75978,55.3908
22.67752,55.34027
22.68423,55.33652
22.68598,55.32092
22.68922,55.32087
22.69813,55.3336
22.73852,55.36247
40.33333,81.25
40.33333,81.25
42.33333,93.0
19.83333,54.08333
19.7,53.96667
20.7,52.83333
20.6,44.88333
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
10.26667,40.56667
30.66667,-5.16667
49.76667,18.25
24.94778,6.94306
49.65,29.63333
32.73458,-2.95797
31.66667,-4.06667
53.3,126.11667
29.06,74.44
55.14167,48.2
18.21233,10.17767
18.673,7.34225
47.0,88.0
20.6,52.5
-25.43333,17.91667
21.875,49.71944
29.35944,14.25528
29.37972,14.26972
29.35833,14.24833
29.36583,14.27611
29.3945,14.29233
26.0,92.0
19.26667,5.91667
21.25417,55.305
23.98611,32.62361
48.06667,35.08333
17.75793,53.99032
49.32222,1.36556
44.31667,9.98333
38.6,58.0
19.08833,99.01389
45.05778,9.19556
46.1,12.35
46.7,113.28333
55.54867,35.2995
30.83333,-3.33333
30.83333,-3.33333
-28.08333,24.08333
30.36194,5.30083
-10.11667,-39.2
49.76667,14.63333
49.76667,14.63333
30.16667,-5.66667
53.05,8.1
46.75,36.81667
45.4633,55.23497
19.41667,51.03333
31.66667,8.41667
25.57117,12.37117
31.481,9.84069
31.93833,10.28403
31.49972,9.87722
31.87164,10.19361
31.89689,10.19572
31.89831,10.19528
31.92181,10.1875
31.92644,10.18961
31.92644,10.18961
51.95,62.2
49.96667,6.53333
57.85,114.2
52.5,68.8
49.05,13.76667
57.63333,83.36667
31.15643,-5.15262
28.3125,0.23333
26.6325,-12.81025
26.74853,-12.70978
26.81089,-12.71864
26.707,-12.759
26.819,-12.724
31.98333,-3.2
44.92222,5.26778
-33.0,26.4
52.5,30.33333
-30.58333,23.55
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
50.56667,114.9
3.98333,41.65
66.4,137.46667
-30.0,20.0
-33.5,26.0
20.12593,10.2056
44.495,11.35556
31.33333,121.66667
53.66667,88.0
51.53333,94.6
51.05833,94.4
20.25,-12.68333
37.43333,-3.65
44.08333,-1.31667
-5.25,-40.5
27.18717,16.189
51.13889,-1.53611
29.58333,-3.75
27.11767,16.0745
27.1255,16.05817
27.12633,16.03067
27.155,15.95833
27.1565,15.9525
27.16983,15.9255
27.16233,16.09533
27.15833,16.11467
27.15267,16.1565
27.15217,16.17317
27.16467,16.16917
27.132,16.29767
27.1295,16.3435
27.10917,16.46617
27.107,16.39333
27.098,16.32233
27.09267,16.31317
27.092,16.3
27.08083,16.201
27.07717,16.19317
27.07717,16.193
27.0775,16.16917
27.09767,16.0255
27.10483,16.01133
27.10483,16.01133
27.11417,16.0015
27.12783,15.97117
27.225,15.0295
27.20167,16.093
27.1915,16.1345
27.08467,16.03683
27.0805,16.12567
27.08267,16.13783
27.08683,16.17483
27.10383,16.30867
27.10767,16.32383
27.10967,16.3515
27.11067,16.35667
27.1115,16.4365
27.13583,16.36017
27.13367,16.358
27.13383,16.331
27.13933,16.27267
27.14617,16.16367
27.15267,16.10617
27.27517,16.09383
27.25817,16.1355
27.30583,16.13567
27.3055,16.20917
27.30383,16.24483
27.30317,16.25467
27.30517,16.26417
27.30483,16.30017
27.26717,16.42033
27.26783,16.41317
27.26883,16.23633
27.279,16.21733
27.29867,16.16683
27.32017,16.0775
27.45767,16.28017
27.45483,16.31333
27.4055,16.32833
27.40633,16.31967
27.41633,16.19433
27.4205,16.16667
27.1455,15.95067
27.0705,16.0945
27.04767,16.4515
27.05233,16.42633
27.056,16.399
27.1055,16.04583
27.12883,16.035
27.16033,16.03533
27.19967,16.03567
27.1045,16.00983
27.10733,16.02233
27.10483,16.06317
27.11817,16.02717
27.10083,16.02333
27.11017,16.01817
27.167,15.93933
27.15967,15.96283
27.04067,16.40433
27.04617,16.37217
27.08433,16.119
27.1355,16.03017
27.1425,16.0295
27.143,16.028
27.1585,16.03133
